team_name,mu,sigma,rank
13th Hour,11.358099501662098,3.4745454587598497,0.9344631253825479
77,17.27938950342575,5.448674613185045,0.9333656638706138
ezOKplease,18.03378919853207,5.7016936852309,0.9287081428393691
H2k.mix,16.47653880398394,5.182863334301906,0.9279488010782195
eXanimo,15.043105257441587,4.70530783400384,0.9271817554300679
duvan,17.296108007313556,5.458034851678558,0.922003452277881
MauRiSiO,17.296490682553785,5.458758896842588,0.9202139920260208
U-19,14.897329329015863,4.659097413278674,0.9200370891798393
Howl,11.196474213965244,3.4257105200243667,0.9193426538921443
Nova Youngsters,14.773051798824026,4.619227974686799,0.9153678747636285
R5,14.684625405544825,4.5899915351799,0.9146508000051252
3v,12.081099163796662,3.724329330993345,0.9081111708166265
MDL All-Star chelo,15.501161577502481,4.865619649777584,0.9043026281697291
ZYLEX,17.290971141741238,5.464128681871959,0.898585096125359
New Zealand,14.919540584297431,4.67461657328433,0.8956908644444415
Problematic,17.2126883596436,5.4413165386665385,0.8887387436439838
risefrom,17.265650928214885,5.45961164371338,0.8868159970747449
GO4Bosnia,18.695283592573904,5.93648845957881,0.8858182138374744
CPTL,12.880297643408252,3.9997251440853847,0.881122211152098
Electron boy,14.464225689890457,4.5303310731096875,0.8732324705613941
Ezentify,13.074315456834572,4.067496981825506,0.8718245113580565
clockwork,17.197962011432665,5.443365859395126,0.8678644332472878
CarritoSpain,15.414361877670645,4.8504058135590915,0.8631444369933714
H2L2,17.50137852699088,5.547606216109603,0.8585598786620707
Wildfire fe,14.467555268896946,4.537220107254329,0.8558949471339599
Aztek,12.29281800413479,3.8124831473947163,0.855368561950641
Fact Revolution,11.699526836739196,3.614930443270339,0.8547355069281792
Summit,14.016321588197163,4.387239392851911,0.8546034096414292
FFxdKek,17.05435987932969,5.399965915472737,0.8544621329114825
gomixhehe,18.744849840013202,5.963890262353826,0.8531790529517238
Glizzy Gang,13.24282510092653,4.13008771888798,0.8525619442625896
JMDaiM2GaME,17.724209513626832,5.624845343730459,0.8496734824354562
re:take,12.580163572502054,3.9110209808590137,0.8471006299250128
PuDI,14.2602846339858,4.471417504227642,0.8460321213028745
QtabENTER,17.44132553249882,5.532458617947654,0.8439496786558571
MadMonkeyZ,11.847921502854097,3.669717838643586,0.8387679869233384
Omnius,14.000921496044297,4.390289209005684,0.8300538690272443
nark0se,14.068769678866612,4.413016046410199,0.8297215396360151
VG.Potential,9.681185683441868,2.9506493306786186,0.8292376914060124
liminka,17.114696191856698,5.4289835079335615,0.8277456680560142
Overrated,14.174802256440904,4.452057439421966,0.8186299381750057
Evil Nation,14.555369576877176,4.579000393981082,0.8183683949339304
QDLM,14.542247298060696,4.577802630991925,0.8088394050849228
Warriors International,15.796461255667593,4.996423209153477,0.8071916282071623
Kadmus7,10.889308694892932,3.3612006908393823,0.8057066223747853
Core Impact,14.669103075329105,4.621541658413131,0.8044781000897121
Debut,14.8386143661705,4.679032221386096,0.8015177020122106
Broshenki,17.129187818865827,5.442843853026907,0.8006562597851072
dopeclvb,17.028113898495874,5.409398514888,0.7999183538318739
Gamedock,13.931091250333829,4.378520718186851,0.7955290957732757
Hammer,14.848101694563308,4.689146944503311,0.7806608610533736
BB,17.158204502110912,5.462999939985219,0.7692046821552552
Swiss Incredible Rebels,13.876621690228534,4.369399431761404,0.7684233949443229
wyfyka,14.232211446551178,4.488366185762479,0.7671128892637409
Relic,17.06165841863256,5.436744462294781,0.7514250317482194
unfortunate circumstances,13.847878423908176,4.365932208212454,0.7500817992708129
egern,16.914167804693143,5.388118555326863,0.7498121387125529
JHS,12.516319658158803,3.922196694544532,0.7497295745252064
Reaction,11.880742042043389,3.7123128858227075,0.7438033845752674
HNCE,13.843603091463098,4.3692551869170115,0.7358375307120646
Geduld,18.280760125175238,5.85122461200344,0.7270862891649195
Joutsenlaulu,13.890755137520188,4.389762291919434,0.7214682617618866
de_mirage,16.778540792523255,5.352516341513086,0.7209917679839997
AdAstra,19.10711118912686,6.129497725394228,0.7186180129441766
Scotty's Scooter,13.93658103083657,4.406862627910709,0.7159931471044434
Power Danger,13.151982796747777,4.1454807767162,0.7155404665991778
EVOS,12.376836168447218,3.88781467714676,0.713392137006938
eliminacja,10.059197119448879,3.116663281984141,0.7092072734964567
Simplify,16.920971475122844,5.405453671102907,0.7046104618141236
SkinsVault,12.983577190942588,4.094249479597071,0.7008287521513754
Alpha Nerds,11.586991922913402,3.6291916775764546,0.6994168901840379
Cyclone Ninja,13.844735127140185,4.382300129545925,0.6978347385024097
ReVamped,14.652147276386335,4.651794810358222,0.6967628453116692
Vulcan Squad,16.13998107795492,5.148890238542297,0.693310362328031
Attack All Around,11.45846090199451,3.5891874310427925,0.6908986088661315
HEAT,16.84798621943683,5.386934651124373,0.6871822660637115
Vikingekrig,15.12937744118186,4.8145561734176185,0.6857089209290042
Weekend Warriors,16.818652878761334,5.379652191517623,0.6796963042084627
RevolutioN,13.891482019197388,4.404037341416807,0.6793699949469687
PointClick,13.936947081085828,4.4200110898746185,0.6769138114619722
YOUR OWN MIRACLE,15.415371031299046,4.913128698721083,0.675984935135796
c2fire,16.683978156036694,5.336472518226799,0.6745606013562977
Resiliency,15.61039792142149,4.983432356934631,0.6601008506175976
Spassk,16.65592425672153,5.331991683680666,0.6599492056795313
SpawnKilled,13.717465523093221,4.354713219326913,0.6533258651124818
LevelZero,13.98622444425349,4.44525630129261,0.6504555403756598
Dzirkstele,16.67534435970486,5.3417291860120075,0.6501568016688353
FiveG,13.161659043155751,4.174668311273841,0.6376541093342283
BFFsIRL,16.611154595173808,5.325208023852641,0.6355305236158859
Ildal Lions,16.81069773710889,5.392759947062596,0.6324178959211011
Wimax,17.901551583677154,5.756771755621125,0.6312363168137765
Los gurises,13.242331018326473,4.205203963001788,0.6267191293211098
Stomps Money Crew,12.336529818346827,3.904980901765179,0.6215871130512891
EX5,17.224605952444275,5.535044247086472,0.6194732111848573
Tecsysnet,16.579089777921006,5.320341326281836,0.618065799075497
FFI,14.32112955890994,4.567789468211394,0.6177611542757564
EZ5,14.389014964570459,4.590581312954636,0.6172710257065521
ProXima Academy,16.799598023191564,5.394355143355535,0.6165325931249583
Eat My Potato,16.00593943551904,5.131650404202929,0.610988222910251
Daydreamers,16.605216055254377,5.3320900298547675,0.6089459656900758
FTW.G2A,13.197081416857941,4.196176293390924,0.608552536685167
MongrelMob,12.597797303503492,3.9976346439834343,0.6048933715531906
Spot Up,10.949701445525125,3.4488521346608447,0.6031450415425912
NFS,16.59858990228584,5.33280121901592,0.6001862452380813
KnockOut Sports,14.220983128685214,4.542344028483508,0.5939510432346911
NoNamers,14.087920444032576,4.4980939171048675,0.593638692717974
TBA,17.10119754371836,5.507477373003196,0.5787654247087737
WYBOROWA,17.26522817690366,5.5642131336292415,0.5725887760159338
DPS,17.140682421661996,5.525250947752075,0.5649295784057706
SlashCry,13.64468094280872,4.3604373458598955,0.5633689052290336
Almogverus,15.5190583853306,4.9866731150511745,0.559039040177078
